% Model,all_readout_test_model_simulations.mph
% Version,COMSOL 6.0.0.405
% Date,"Dec 19 2022, 18:51"
% Table,Table 44 - Global Matrix Evaluation 1
% qubit_resonator_deformation (um),Maxwell to mutual:,Maxwell capacitance (fF)
5,52.346785258548366,5.30886048339312
,5.3079778116796135,539.1483175811214
10,51.77784318471154,6.0191184294239
,6.018123318749219,535.9647816692228
14.999999999999998,51.45862892752453,7.071002834891711
,7.069847344026132,535.8156338386774
20,51.22820539289372,7.733328036089973
,7.732071417788454,535.6879880413566
24.999999999999996,50.83561418231174,8.616755339365037
,8.615365522606321,536.1262574941093
29.999999999999996,50.65338243980014,9.449335714543192
,9.447814082349518,537.2442991453659
35,50.45497385229833,10.170016634659397
,10.16839447302659,535.9665387581633
40,50.30952087880721,11.112037198268593
,11.110273855429488,536.6218016034379
44.99999999999999,50.121185000784884,11.720806254380188
,11.71895125245007,536.9040773903778
49.99999999999999,49.92287234097144,12.740637999373025
,12.738627611832635,537.737041391368
